SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Dressin Up,Katy Perry,https://www.youtube.com/results?search_query=Dressin+Up+Katy+Perry,Pop,2010s,"Am, F, Dm, E",4
Going nowhere,Little Mix,https://www.youtube.com/results?search_query=Going+nowhere+Little+Mix,Pop,2010s,"Am, F, Dm, E",4
Horse To The Water,George Harrison,https://www.youtube.com/results?search_query=Horse+To+The+Water+George+Harrison,Rock,2000s,"Am, F, E, Dm",4
If You Seek Amy,Britney Spears,https://www.youtube.com/results?search_query=If+You+Seek+Amy+Britney+Spears,Elect,2000s,"Am, E, F, Dm",4
Misery,Green Day,https://www.youtube.com/results?search_query=Misery+Green+Day,Rock,2000s,"Am, E, Dm, F",4
Sucker For Pain,Lil Wayne,https://www.youtube.com/results?search_query=Sucker+For+Pain+Lil+Wayne,HipHop,2010s,"Am, Dm, F, E",4
This I Love,Guns N' Roses,https://www.youtube.com/results?search_query=This+I+Love+Guns+N%27+Roses,Rock,2000s,"Am, F, Dm, E",4
Ako Umram Il Zaginam,Jonce Hristovski,https://www.youtube.com/results?search_query=Ako+Umram+Il+Zaginam+Jonce+Hristovski,Folk,1960s,"Am, Dm, E, F",4
Bensonhurst Blues,Oscar Benton,https://www.youtube.com/results?search_query=Bensonhurst+Blues+Oscar+Benton,Sndtrk,1970s,"Am, Dm, E, F",4
Chica Solitaria,Lone Star,https://www.youtube.com/results?search_query=Chica+Solitaria+Lone+Star,Rock,1970s,"Am, F, Dm, E",4
Jeritan Batinku,P. Ramlee,https://www.youtube.com/results?search_query=Jeritan+Batinku+P.+Ramlee,Pop,1970s,"Am, F, E, Dm",4
Joget Bujang Di Rantau,Black Dog Bone,https://www.youtube.com/results?search_query=Joget+Bujang+Di+Rantau+Black+Dog+Bone,Soul,1970s,"Am, E, F, Dm",4
Moliendo Café,Javier Solís,https://www.youtube.com/results?search_query=Moliendo+Caf%C3%A9+Javier+Sol%C3%ADs,Latin,1970s,"Am, Dm, F, E",4
Päivän Työ,Olavi Virta,https://www.youtube.com/results?search_query=P%C3%A4iv%C3%A4n+Ty%C3%B6+Olavi+Virta,Pop,1970s,"Am, E, F, Dm",4
Sixteen Tons,Tennessee Ernie Ford,https://www.youtube.com/results?search_query=Sixteen+Tons+Tennessee+Ernie+Ford,Soul,1950s,"Am, F, E, Dm",4
Yellow Raven,Scorpions,https://www.youtube.com/results?search_query=Yellow+Raven+Scorpions,Rock,1970s,"Am, Dm, E, F",4
80 Veces,Rozalén,https://www.youtube.com/results?search_query=80+Veces+Rozal%C3%A9n,Pop,2010s,"Am, Dm, E, F",4
Adormecido,Toranja,https://www.youtube.com/results?search_query=Adormecido+Toranja,Rock,2000s,"Am, F, Dm, E",4
All The Rowboats,Regina Spektor,https://www.youtube.com/results?search_query=All+The+Rowboats+Regina+Spektor,Rock,2010s,"Am, E, F, Dm",4
Al Sol De Medio Dia,Fernando Delgadillo,https://www.youtube.com/results?search_query=Al+Sol+De+Medio+Dia+Fernando+Delgadillo,Latin,1990s,"Am, F, E, Dm",4
Apocalipse,Egotrip,https://www.youtube.com/results?search_query=Apocalipse+Egotrip,Rock,1980s,"Am, Dm, F, E",4
Babado Novo,Babado Novo,https://www.youtube.com/results?search_query=Babado+Novo+Babado+Novo,Latin,2000s,"Am, E, Dm, F",4
Back To Black,Amy Winehouse,https://www.youtube.com/results?search_query=Back+To+Black+Amy+Winehouse,Soul,2000s,"Am, Dm, F, E",4
Bésame,El Tri,https://www.youtube.com/results?search_query=B%C3%A9same+El+Tri,Rock,2000s,"E, Am, Dm, F",4
Bir Könül Sındırmışam,Şövkət Ələkbərova,https://www.youtube.com/results?search_query=Bir+K%C3%B6n%C3%BCl+S%C4%B1nd%C4%B1rm%C4%B1%C5%9Fam+%C5%9E%C3%B6vk%C9%99t+%C6%8Fl%C9%99kb%C9%99rova,Pop,1990s,"Am, F, Dm, E",4
Canalla,El Canto del Loco,https://www.youtube.com/results?search_query=Canalla+El+Canto+del+Loco,Pop,2000s,"E, Am, F, Dm",4
Canción Húmeda,Iván Ferreiro,https://www.youtube.com/results?search_query=Canci%C3%B3n+H%C3%BAmeda+Iv%C3%A1n+Ferreiro,Rock,2000s,"Am, E, Dm, F",4
Caradura,Julio de la Rosa,https://www.youtube.com/results?search_query=Caradura+Julio+de+la+Rosa,Rock,2000s,"Am, F, Dm, E",4
Cariño Malo,Douglas,https://www.youtube.com/results?search_query=Cari%C3%B1o+Malo+Douglas,Latin,1990s,"Am, E, F, Dm",4
Charlie,Contalgen Funeral,https://www.youtube.com/results?search_query=Charlie+Contalgen+Funeral,Rock,2010s,"Am, Dm, E, F",4
Como Los Olivos,Bebe,https://www.youtube.com/results?search_query=Como+Los+Olivos+Bebe,Rock,2000s,"Am, Dm, F, E",4
